nr S.	scalenie	znaczenie 1	znaczenie 2	znaczenie 3	POCHODZENIE	CZĘSTOŚĆ WYSTĄPIEŃ	WYSTĄPIENIA
G1	G1 α [alfa]; rzeczownik	nie (jako przedrostek przeczący)	pierwsza litera alfabetu greckiego		 pochodzenia hebr.	3	Ap 1:8; Ap 21:6; Ap 22:13
G2	G2 Ἀαρών [Aarōn]; rzeczownik	Aaron, brat Mojżesza. 			 pochodzenia hebr. (H175)	5	Łk 1:5; Dz 7:40; Hbr 5:4; Hbr 7:11; Hbr 9:4
G3	G3 Ἀβαδδών [Abaddōn]; rzeczownik	pierwotnie (ST): alternatywna nazwa dla szeolu	w NT: anioł zagłady, opisany w Ap 9:11		 pochodzenia hebr. (H11)	1	Ap 9:11
G4	G4 ἀβαρής [abarēs]; przymiotnik	lekki	łatwy; nieuciążliwy		 od G1 (jako partykuła przecząca) i G922	1	2Kor 11:9
G5	G5 Ἀββᾶ [abba]; rzeczownik	aram: ojciec, tatuś (dosł.: ojcze, tatusiu)			 pochodzenia chaldejskiego (zob. H2)	3	Mk 14:36; Rz 8:15; Ga 4:6
G6	G6 Ἄβελ [Abel]; rzeczownik	Abel, syn Adama			 pochodzenia hebr. (H1893)	4	Mt 23:35; Łk 11:51; Hbr 11:4; Hbr 12:24
G7	G7 Ἀβιά [Abia]; rzeczownik	Abiasz, syn Roboama	Abiasz, naczelnik ósmej grupy kapłańskiej (należał do niej ojciec Jana Chrzciciela, Zachariasz)		 pochodzenia hebr. (H29)	2	Mt 1:7; Łk 1:5
G8	G8 Ἀβιάθαρ [Abiathar]; rzeczownik	Abiatar, syn Achimeleka (najwyższego kapłana w czasach Dawida)			 pochodzenia hebr. (H54)	1	Mk 2:26
G9	G9 Ἀβιληνή [Abilēnē]; rzeczownik	starożytny region w Celesyrii 			 obcego pochodzenia (porównaj H58)	1	Łk 3:1
G10	G10 Ἀβιούδ [Abiud]; rzeczownik	Abiud, syn Zorobabela			 pochodzenia hebr. (H31)	1	Mt 1:13
